Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Year,Month,Day,SMA_3,Prev_Close,Daily_Return,High_Low_Spread
2024-03-25,170.570007,171.940002,169.449997,170.850006,170.618591,54288300,AAPL,2024,3,25,171.5,172.279999,-0.8300400558976067,2.4900049999999965
2024-03-26,170.0,171.419998,169.580002,169.710007,169.480133,57388400,AAPL,2024,3,26,170.94667066666668,170.850006,-0.6672513666754084,1.839995999999985
2024-03-27,170.410004,173.600006,170.110001,173.309998,173.075241,60273300,AAPL,2024,3,27,171.29000366666665,169.710007,2.121260297868008,3.4900049999999965
2024-03-28,171.75,172.229996,170.509995,171.479996,171.247726,65672700,AAPL,2024,3,28,171.50000033333333,173.309998,-1.0559125388715354,1.7200009999999963
2024-04-01,171.190002,171.25,169.479996,170.029999,169.799698,46240500,AAPL,2024,4,1,171.60666433333333,171.479996,-0.8455779296845773,1.7700040000000001
2024-04-02,169.080002,169.339996,168.229996,168.839996,168.611298,49329500,AAPL,2024,4,2,170.11666366666668,170.029999,-0.6998782608944144,1.1100000000000136
2024-04-03,168.789993,170.679993,168.580002,169.649994,169.420197,47691700,AAPL,2024,4,3,169.506663,168.839996,0.4797429632727419,2.0999909999999886
2024-04-04,170.289993,171.919998,168.820007,168.820007,168.591339,53704400,AAPL,2024,4,4,169.10333233333336,169.649994,-0.48923491267555747,3.0999909999999886
2024-04-05,169.589996,170.389999,168.949997,169.580002,169.350296,42055200,AAPL,2024,4,5,169.35000100000002,168.820007,0.4501806471314763,1.4400019999999927
2024-04-08,169.029999,169.199997,168.240005,168.449997,168.221832,37425500,AAPL,2024,4,8,168.950002,169.580002,-0.6663551047723252,0.9599919999999997
2024-04-09,168.699997,170.080002,168.350006,169.669998,169.44017,42451200,AAPL,2024,4,9,169.23333233333332,168.449997,0.7242511259884418,1.7299959999999999
2024-04-10,168.800003,169.089996,167.110001,167.779999,167.552734,49709300,AAPL,2024,4,10,168.63333133333333,169.669998,-1.1139264585834374,1.9799950000000024
2024-04-11,168.339996,175.460007,168.160004,175.039993,174.802902,91070300,AAPL,2024,4,11,170.8299966666667,167.779999,4.327091455042866,7.300003000000004
2024-04-12,174.259995,178.360001,174.210007,176.550003,176.310867,101593300,AAPL,2024,4,12,173.12333166666667,175.039993,0.8626657109155587,4.149994000000021
